college,name
KV,Advanced Turkish II
KV,Special Topics in Turkish
KR,Urban Sustainability
KR,"Race, Social Justice, and Cities"
KR,GIS for Planners
KR,Urban Planning Research
LC,Infectious Disease in Livestock Systems
LC,Adv Topics Vet Clin Med
LC,Manuscript Research
LC,Clinical/Laboratory Practice
LC,Clinical Practice IV
KV,Writing Across Media
KL,Companion Animal Biology &Care
KV,Race and Cultural Diversity
KM,Atg Institutions and Reg
KM,"Accounting Measurement, Reporting, and Control"
KM,Accounting Analysis I
KL,Agr Cons and Resource Econ
KL,Commodity Price Analysis
KV,Lang Diff Dis: American Persp
KV,African Amer Families in Film
KL,Communications Internship
KL,Intro to Leadership Studies
KL,Special Topics in Ag Education
KV,Introduction to Anthropology
KV,"Food, Culture, and Society"
KR,Architecture as a Second Language
KR,Arch Design and the Landscape
KR,Arch Design and the City
KR,Design: Detail and Architectonics
KR,Spec Prob Arch Hist & Pres
KR,Digital Art and Sustainability
KR,Visual Culture of Fandoms
KV,Field Studies of Convection
KM,Introduction to Business
KM,Marketing Management
KM,Process Management
KM,Stat for Mgt Decision Making
LT,Foundational Elements
LT,Digestion
LT,Nutrition & Metabolism
LT,Endocrinology
LT,Global Studies/Service Learning Elective
KM,Business Study Abroad
KV,General Chemistry Lab I
KV,General Chemistry Lab II
KV,Elementary Organic Chem Lab I
KV,Elementary Organic Chem II
KN,Bilingual and English as a Second Language Assessment
KV,Senior Survey
KV,Public Speaking
KL,Agriculture in Mythology
KL,"Agriculture, Food, and the Environment"
KP,User Interface Design
KV,Honors Tutorial
KP,IC Device Theory & Fabrication
KV,Macroeconomic Policy
KV,Topics in Economics
KN,Education Abroad
KP,Seminar Energy & Sustain Engrg
KV,Intro to Film
KV,Intro to Fiction-ACP
KV,Masters Exam Tutorial
KV,Prof Seminar College Tchg
KV,Sustainability Experience
KN,Supervision of Learning Envir
KN,Internship in Higher Ed
KN,Race and Cultural Diversity
KN,Aesthetic Education
KN,New Learning
KN,Topics in Educational Policy
KN,"Knowledge, Learning & Pedagogy"
KN,Learning & Hum Dev w/ EdTech
KN,Analysis of Educational Tech
KN,Advanced Seminar in Educ Psyc
KV,English Pronunciation for ITAs
KV,Oral Communication for ITAs
KV,Seminar for Intl TAs
KV,Written and Oral Business Communication
KM,Investments
KV,Intermediate French I
KV,Intermediate French II
KL,Undergraduate Seminar
KL,Advanced Topics in Food Science and Human Nutrition
KV,Freshman Honors Seminar
KV,Intermediate German II
KV,"Film, TV, and Gender"
KL,African Amer Families in Film
KL,Horticultural Physiology
KN,Supervised Internship in HRE
KV,Introductory Research
KV,Human Genome & Bioinformatics
KP,Design & Anlys of Experiments
KP,Convex Optimization
LP,Storytelling
LP,Introduction to Network Information Systems
LP,Advanced Topics in Information Studies
LP,Information Needs of Particular Communities
LP,Metadata in Theory & Practice
KV,Readings in Japanese Lit
KR,Design Workshop Studio I
KR,Design Workshop Studio II
KV,Elements of Syntax
KV,Bilingual and English as a Second Language Assessment
KT,Intro to Film
KT,"Film, TV, and Gender"
KV,Fundamental Mathematics
KV,Human Anatomy & Physiology I
KV,Human Anat & Physiol Lab I
KT,Advanced Media Sales
KP,Materials Laboratory I
KP,Materials Laboratory II
KR,Summer Band
KR,Assessment and Evaluation in Music Education
KR,Popular Music Pedagogy
KR,Teaching Young Singers
KR,Advanced Ensemble Music
KR,Proseminar in Music
KR,Special Topics Seminar
KR,Music Education Thesis
KL,Forest Biology
KL,Capstone Group Research Project
KL,Experimental Graduate Courses
KV,Logic and Reasoning
KV,Logic and Reasoning QR II
KY,Counseling Internship
KY,Rehabilitation Practicum
KY,Practicum
KY,"Concepts & Applications in Recreation, Sport & Tourism"
KY,Adv Leisure Research Methods
KY,Lang Diff Dis: American Persp
KY,Prepracticum in SHS
KV,Advanced Spanish Grammar in Context
KN,Foundations of Assessment
KN,Disability Issues in SPED
KR,Intro African American Theat
KP,Nonlinear Continuous Media
KV,Dancing Black Popular Culture
KV,Topics Swahili Lang & Lit I
KV,Topics Swahili Lang & Lit II
KR,Architecture as a 2nd Language
KR,Arch Design & Exploration
KR,Design: Technology and Performance
KR,Spec Prob Arch Practice & Mgt
KM,Business Process Management
LT,Orientation
LT,Population Health
KN,Tchg Elementary Mathematics
KN,Sem for Adv Stu of Education
KV,Health Informatics
KL,Organic Chem of Biol Processes
KL,Research Methods in Plant Sci
KV,Russ & E Euro Science Fiction
KR,Dancing Black Popular Culture
KP,Elec & Electronic Circuits
KP,Elec & Electronic Circuits Lab
KV,Health Economics
KP,Energy Systems Practicum
KP,Energy Systems Project
KN,Leading Learning-Centrd Schls
KN,Foundation of Higher Edu
KN,Advanced Seminar
KN,Ubiquitous Learning
KN,Adult Learning and Development
KN,Single Case Experimntl Design
KL,Intro Food Science & Nutrition
KV,Geography Field Course
KV,20thC World to Midcentury
KV,Nature and American Culture
KV,Revivalism and Evangelicalism
KN,Advanced Theories in HRD
KP,Analysis of Data
LP,School Library Media Center
LP,"Race, Gender, and Sexuality in the Information Professions"
KV,Elementary Japanese II
KY,Individual and Dual Activities
KY,Contemporary Issues in Sport
KV,Native Latin Amer Languages
KV,Intro to Linguistic Structure
KT,Advanced Media/Cinema Topics
KV,Finite Mathematics
KV,Calculus for Business I
KT,Media Sales Management
KR,Music Interdisciplinary Curriculum
KR,Songwriting
KL,Graduate Seminar
KL,Capstone Group Res Project
KV,Ethics
KP,Relativity & Math Applications
KV,Undergraduate Research Practicum
KV,UG Research Assistance
KV,Psych and Law
KV,Technology and Society
LL,Cities and Immigrants
KN,Ethics & Prof. Behavior
KN,Supervised Prac in SPED
KV,Statistics Programming Methods
KP,"Creativity, Innovation, Vision"
KP,"Startups: Inc, Fund, Contracts, IP"
KR,Undergraduate Project
KR,International Planning Studio
KY,RST in Modern Society
KM,Principles of Taxation
KM,Practical Problems in Atg
KM,Assurance and Attestation
KM,"Atg Measuremnt, Rpting & Cntrl"
KM,Multistate Taxation
KM,Corporate Income Taxation
KM,Tax Research
KM,Tax Policy
KM,Tax Procedures
KV,Intermediate Wolof I
KV,Intermediate Wolof II
KT,Communications Internship
KT,Research Internship
KT,Independent Study or Research
KT,Honors Research or Thesis
KV,Seminar in Anthropology
KR,Theory of Reinforced Concrete
KR,Design:Detail & Architectonics
KP,Bioinstrumentation Project
KV,Unit Operations Laboratory
KV,Biochemical Engineering
KV,Elementary Chinese I
KV,Elementary Chinese II
KY,Tomorrow's Environment
KY,MPH Practicum
KY,Public Health Capstone Expnce
KN,Culture in the Classroom
KN,Bilingual and ESL Assessment
KN,Clinical Practicum in Reading
KV,Intro to Interpersonal Comm
KL,Tomorrow's Environment
KL,Native Plants and Agroecosystems
KL,Plant Breeding Methods
KP,Introduction to Data Mining
KP,Progrmg Languages & Compilers
KP,Computer Security I
KV,Viking Mythology
KP,Fields and Waves II
KV,Public Sector Economics
KV,Development Economics
KV,Econ of Innovation and Tech
KV,Ling for Language Teachers
KP,Technology Entrepreneurship
KP,High-Tech Venture Marketing
KV,Introduction to Shakespeare
KV,Renewable & Alternative Energy
LK,Ind Studies of Env. Topics
LK,Tomorrow's Environment
LK,Sustainability Experience
KN,Sociology of Education
KN,Educational Statistics
KV,Intro to Academic Writing
KV,Intl Business Communication
KV,French Cultural History to 1789
KL,Beverage Science & Technology
KP,Project Design
KW,Undergraduate Open Seminar
KV,Topics in GWS
KV,British Isles to 1688
KV,Topics in Film and History
KV,Global Perspectives in Cross-Cultural Contexts
LG,Introduction to Labor Studies
LP,Info Books & Resources Youth
LP,Instruction and Assistance Sys
LP,Libraries Info and Society
LP,Reference and Info Services
LP,Adm Mgt of Libs Info Centers
LP,Intr to Bibliographic Metadata
LP,Information Modeling
LP,Advnced Bibliographic Metadata
LP,Rare Book and Spec Colls
LP,Archival Arrang and Descrip
LP,Advanced Problems in LIS
LP,LIS Practice
KV,Senior Research Project
KV,Bilingual and ESL Assessment
KT,Intro to Popular TV & Movies
KT,Topics in Film and History
KP,Dynamics of Mechanical Systems
KP,Kinem & Dynamics of Mech Syst
KR,Topics in Hist of Instrum Mus
KR,Analytical Methods: Musicology
KR,Transformative Music Education
KR,Global Perspectives on Mus Ed
KP,Freshmen/Sophomore Special Topics in Physics
KV,Intro to US Gov & Pol
KV,Intro to Public Policy
KV,Abnormal Psych
KV,Intern in Ind Org Psych
KV,Seminar
KV,Topics in Religious Thought
KV,Sociology of Education
LL,Practice in Org Settings
LL,Field Instruction I
KV,Readings in Hispanic Texts
KN,Collaborative Leaders in SPED
KN,Interdisciplinary Teaming
KR,Practicum I
KV,Special Topics in Translation
KR,Cities and Immigrants
KR,"Scenarios, Plans & Future Cities"
KM,Auditing Stds and Practice
KM,Advanced Topics in Taxation
KM,Tax Policy & Procedures
KP,Spacecraft Attitude Control
KP,Computational Aerodynamics
KP,Aeroelasticity
KP,Viscoelasticity Theory
KV,Intro to Mod African Lit
KV,Elementary Wolof I
KV,Elementary Wolof II
KT,Ag Sales and Persuasive Communication
KL,Teaching College-Level ACES
KV,Readings in Am Ind Studies
KV,Problems in Indigenous Studies
KP,Water Resources Field Methods
KN,Middle School Instruction
KN,Found of Bilingual Educ
KV,Intro to Comm Theory & Res
KV,Business Communication
KV,Communicating Public Policy
KV,Special Topics in Comm
KL,Env and Sustainable Dev
KP,Intro Computing: Engrg & Sci
KV,The Holocaust in Context - ACP
KR,Advanced Research in Dance
KV,Industrial Comp and Monopoly
KV,Topics in Second Lang Studies
KN,Clinical Experience Admin
KN,School District Management
KN,Foundations of Education
KN,Foundations of Education-ACP
KN,Undergraduate Advanced Seminar
KN,Philosophy of Middle School
KN,Career Theory and Practice
KN,Theories of Psychotherapy
KN,Early Adolescent Development
KV,Oral and Written Communication
KL,Food Science Advanced Topics
KV,Energy Systems
KV,Special Problems in HCD
KL,Hospitalized Children
KU,Evidence
KU,Clinical Training
LP,Info Needs of Part Communities
KV,Introductory Microbiology
KR,Music and Society
KP,Energy Systems
KV,Philosophy of Science
KV,Advanced Grammar
KV,Crisis Diplomacy
KV,Intro Intellectual Disability
KV,Theories of Psychotherapy
KY,Intro Intellectual Disability
KY,Electrophys Indic Aud Balance
KV,Methods of Field Research
KV,Qualitative Research Methods
LL,Study Abroad
LL,Adv Clin Assess & Interviewing
KV,Intro to Spanish Grammar
KV,Practical Review of Spanish
KV,Intro to Hispanic Linguistics
KN,Intro Intellectual Disability
KV,Biostatistics
KL,Technical Systems in Agr
KL,Metallurgy & Welding Process
KR,Social Inequality and Planning
KV,Contemp Social & Env Problems
KM,Advanced Income Tax Problems
KM,Information in Value Creation
KT,Writing for Public Relations
KV,Spec Topics African-Am Studies
KV,Res Sem in African-Am Studies
KT,Sales Communications
KL,Biology of Reproduction
KV,Methods of Cultural Anth
KR,Basic Photography
KR,Drawing I
KV,Field Studies Convection
KP,Masonry Structures
KP,Decision and Risk Analysis
KN,Issues and Development in Educ
KL,Professional Orientation CPSC
KP,Data Structures
KP,Computer Architecture
KP,Obj-Oriented Progrmg & Design
KV,Modern China
KN,Ed Prac in Special Fields
KP,Success in the Workplace
KP,Entrepreneurship for Engineers
KP,Managing Advanced Technol I
KV,Topics in Lit and Culture
KV,Topics in Writing Studies
KV,Major Authors
KN,Technology &Educational Reform
KN,Global Issues in Learning
KN,Learn and Human Dev wi Ed Tech
KN,Developments in Educ Psyc
KV,Adv Academic writing MATSEL
KM,Quantitative Finance
KM,Financial Management
KV,Elementary Hindi-Urdu I
KV,Elementary Hindi-Urdu II
KV,Bioinformatics & Human Genome
KY,Development Activities
KY,Skating Activities
KY,Team Sport Activities
KY,Sport & Modern Society
KU,Securities Regulation
KU,Family Law
KU,Criminal Proc: Adjudication
KU,Professional Responsibility
LP,Fantasy Lit/Media for Youth
LP,Foundations Info Proc in LIS
LP,Advanced Topics Info Studies
KR,Chor Prog in Secondary Schools
KL,Capstone Research Project
KV,Introduction to Ethics
KV,Luso-Brazilian Culture
KV,Intro to Comp Politics
KV,The US Constitution I
KV,The US Congress
KV,Senior Honors Thesis
KV,Intervention & Assessment
KV,Adv Rhetoric & Composition
KV,Philosophy of Religion Intro
KY,Critical Issues Recreation Mgt
KV,First-Year Russian I
KV,First-Year Russian II
KY,"Child, Comm, & Lang Ability"
KV,Sport & Modern Society
KV,Adv Topics Lit & Culture St
KN,Formal Assessment in SPED
KR,Principles of Arts Management
KR,Fndtns Urban Sustainability
KR,Planning Internship
LC,Emergency Diagnostic Imaging
KV,Hate Crimes
KV,Spec Topics African Am Studies
KT,Student Publications and Media
KL,Collaborative Leadership
KL,Adv Topics in Animal Science
KR,Design: Behavior & Environment
KR,Design History Survey
KV,Gov & Pol of South Asia
LE,Orientation Refresher
LE,Private Pilot I
LE,Private Pilot II
LE,Private Pilot Requalification
LE,Commercial - Instrument I
LE,Commercial - Instrument II
LE,Undergraduate Open Seminar
LE,Commercial Pilot II
LE,Flight Instructor-Airplane
LE,Instrument Flight Instructor
LE,Multiengine Land
LE,Cockpit Resource Management
LE,Special Topics in Aviation
LE,Individual Research
KM,Entrepreneurship Sm Bus Form
KM,Current Topics in Intl Bus
KP,Airport Design
KV,Topics in Classical Literature
KV,Adv Topics in Communication
KP,System Programming
KP,Numerical Methods I
KP,Text Information Systems
KP,Distributed Systems
KP,Communication Networks
KV,Introductory Narrative Writing
KV,Medieval Lit and Culture
KR,Listen and Move
KV,Computable G E Modeling
KP,Managing Advanced Technol II
KV,Special Topics in Film Studies
KN,School Dist Improvement
KN,Administration Theory
KL,Fermented &Distilled Beverages
KV,Readings in German Grads I
KW,DGS Honors Seminar
KV,"Queer Lives, Queer Politics"
KV,US Hist to 1877
KV,US Hist Since 1877
KV,European History 1918 to 1939
KV,Twentieth Century Europe
KN,Design of Learning Systems
KN,Organization Development
KN,Management of HRD
LM,Special Topics
KT,Master's Readings
LG,Undergraduate Open Seminar
LP,Info Org and Access
KT,Intro to the Media
KT,Social Aspects of Media
KT,Special Topics in Film Studies
KT,Senior Seminar
KV,Numerical Methods I
KP,Design for Manufacturability
KR,Counterpoint and Fugue
KR,Individ Topics in Music Theory
KR,Rdgs in Musicol and Mus Theory
KR,Critical Readings in Mus Ed
KR,Psychology of Music
KV,Introduction to Philosophy
KV,Current Controversies
KV,Developmental Psych Lab
KV,Rhetoric Tutorial
KV,College Writing I
KV,Principles of Composition
KV,Topics in Biblical Studies
KY,Society and Leisure
KY,Leisure Studies Practicum
KY,Theories & Concepts of Leisure
KY,Human Resources in RST
KY,American Sign Language I
KY,Clinical Auditory Anat & Phys
KV,Social Aspects of Media
LL,Current Topics in Social Work
KV,Advanced Study Abroad
KV,Translation Study Abroad
KV,Translation Studies Capstone
KR,Special Topics in Planning
KV,Intro Asian American Studies
KT,Advertising Study Abroad
KT,Advanced Public Relations
KL,Student Publications and Media
KL,Sales Communications
KL,Advanced Program Delivery
KV,Am Indian and Indigenous Film
KV,World Archaeology
KR,Off-Campus Study
KR,Seminar in Class Archaeology
KV,Adv Topics in Atmospheric Sci
LE,Commercial Pilot I
LE,Special Flight Ratings
KM,Quant Analysis of Decisions
KM,Multinational Management
KN,Trends & Issues Language Arts
KV,Introduction to Greek Culture
KV,Seminar in Class Archaeology
KP,Theory of Computation
KV,Grimms' Fairy Tales in Context
KV,The Holocaust in Context
KV,Adv Topics in Econ Theory II
KN,Ed Prac Students with Sp Needs
KV,The British Novel
KV,Critical Approaches to Lit
KV,Topics in Literature
KN,Intro to Edu Admin.
KN,Instructional Supervision
KN,The School Superintendency
KN,History of American Education
KN,Analysis of Adv Instruct Tech
KS,Thesis Research
KV,Readings in German Grads II
KV,Early Euro Absolut & Expansion
KV,American Sign Language III
LP,Library Buildings
KT,Am Indian and Indigenous Film
KT,Popular Culture
KV,Fundamental Mathematics-ACP
KV,Non Euclidean Geometry
KV,Euclidean Geometry
KV,Real Analysis
KR,Music and Performance
KR,Music and Media
KR,Marching Band Procedures
KR,Intermediate Music Ed Tech
KR,Graduate Wind Band Conducting
KV,Symbolic Logic
KL,Plant Disease Diagnosis & Mgmt
KV,Foundations of Pol Sci
KV,Environmental Politics &Policy
KV,Democratic Theory
KY,Critical Issues Tourism Mgt
KY,American Sign Language III
LL,International Perspectives
LL,Supervision/Staff Development
KV,Oral Spanish
KV,Intro to Cultural Analysis
KN,Learning Environments II
LC,ECC Journal Topics
KM,Principles of Public Policy
KM,Financial Reporting Standards
KM,Auditing & Assurance Standards
KV,Directed Independent Readings
KV,Adv Topics Swahili Lang&Lit II
KL,Internship Off Campus
KL,Intern On Campus Practical Exp
KR,International Architecture
KR,Critical Travel Documentation
KV,Perspectives in Astronomy
KV,Topics in Atmospheric Sciences
KV,Capstone Undergrad Research
KP,Steel Structures III
KN,Princ Tchg Lit to Child Youth
KN,Princ Prac Foster Indep Rdg
KN,Topics Writ Pedagogy & Design
KV,Intro to Mediated Comm
KL,Intro to Applied Statistics
KP,Honors Course
KR,Contemp Directions in Dance
KP,Intro Elec & Digital Circuits
KP,Computer Engineering I
KP,Cooperative Engrg Seminar
KV,Shakespeare
KV,Lit of American Minorities
KV,Topics Writ Pedagogy & Design
KN,Educational Law
KN,Psyc of Learning in Education
KV,Introduction to GIS
KR,Action Research Seminar
KV,Planet Earth QRII
KV,Non-Honors Independent Study
KL,Plant Nutrition
KN,Principles of HRE
KN,Issues and Developments in HRE
KN,Program Evaluation
KV,Biological Sciences
KV,Environmental Biology
KV,Biology of Reproduction
KV,Special Courses
KY,Aquatic Sport Activities
KU,Decendent's Estates and Trusts
KU,Current Legal Problems
LG,Labor and Social Movements
LG,Intro Labr Wrkng Class History
LG,Globalization and Workers
LG,"Gender, Race, Class and Work"
KV,Real Analysis I
KR,Genre Studies in Musicology
KR,Seminar in Musicology
LD,Introduction to Naval Science
LD,Navigation/Naval Operations II
LC,Vet Diagnostic Path 2
KV,Intensive Beginning Portuguese
KV,Intermediate Portuguese
KV,Intensive Portuguese
KV,Studies in Brazilian Lit
KV,Governing Globalization
KV,The US Presidency
KV,Principles of Public Policy
KV,Government Internship
KY,Entrepreneurship
KY,Prepraticum in SHS
KV,Intro to Intl Health Policy
KV,Intro to Sociological Theory
KV,Special Topics in Sociology
LL,Research Seminar
KN,Admin & Supervision in SPED
KR,Practicum II
LC,Clinical Anesthesiology
LC,Small Animal Surgery
LC,Small Animal Internal Medicine
LC,Ophthalmology
KM,Accounting and Accountancy I
KM,Accounting Analysis II
KT,Global Advertising Studies
KV,Advanced Swahili I
KV,Advanced Swahili II
KL,Research Methods & Design
KV,Adv Top Stand Arabic LangLit I
KV,AdvTop Stand Arabic LangLit II
KR,Seminar in Modern Art
KR,Special Topics in Studio Art
KV,Introduction to Meteorology
KM,Consumer Behavior
KM,Legal Aspects of Mgt Decisions
KV,Argumentation
KV,Race and the Mass Media
KP,Computer Architecture I
KV,Economics of Taxation
KV,Math Econ I
KV,Intro to Criticism & Research
KN,The Principalship
KN,School Improvement
KN,The Community College
KN,Evaluating Learning Technology
KM,Introduction to Finance
KV,Beginning French Grads
KV,Reading French Grads
KL,Food Processing II
KV,Geog of Developing Countries
KV,Geography of Intl Conflicts
KV,Chicanas&Latinas: Self&Society
KL,Intro to Family Studies
KV,Europe in the World
KV,Civil War and Reconstruction
KV,Soc History Indus Am from 1918
KN,Special Study & Investigation
LG,Contemporary Labor Problems
KV,American Sign Language I
LP,Cataloging and Classif I
KV,Intro to Latina/o Literature
XX,Intro to Film
XX,Popular Culture
XX,Special Media/Cinema Topics
XX,Internship Seminar
KV,Elementary Linear Algebra
KV,A Mathematical World
KR,Thesis/Adv UG Honors in Music
KR,Admin and Superv of Mus Ed
KR,The General Music Program
LC,Veterinary Diagnostic Medicine
KV,Philosophy in Literature
KP,Special Topics in Physics
KL,Plant Disease Diagnosis
KV,International Conflict
KV,Social Research Methods
LL,SW Practice with Indiv and Fam
LL,School Social Work Practice
LL,Practice Evaluation
LL,Field Instruction II
KR,Stud Theatre Hist 20th Century
LC,Small Animal Emergency Med
LC,Imaging Therapy/Radiology
LC,Equine Medicine and Surgery
LC,"Farm Animal Repro, Med, & Surg"
LC,Cardiology
LC,Dermatology
LC,Oncology
LC,Clinical Neuro/Neurosurgery
LC,Food Animal Selective Rotation
LC,Zoological Medicine
LC,Public Health Selective
LC,Clinical Sm Animal Dentistry
LC,Chicago Center Primary Care
LC,Wildlife and Exotics
LC,Shelter Animal Med and Surg
LC,Clinical Lab Animal Medicine
LC,Primary Care Elective Rotation
LC,Small Animal Primary Care
LC,Veterinary Clinical Medicine
KV,Advanced Wolof I
KV,Advanced Wolof II
KL,Research or Thesis
KV,"Black America, 1619-Present"
KV,Adv Topics Swahili Lang&Lit I
KV,Intro to Amer Indian Studies
KL,Advanced Dairy Nutrition
KV,Families in Global Perspective
KM,Business Policy and Strategy
KV,Special Cinema Studies Topics
KV,Persuasive Speaking
KP,Advanced Seminar
KR,World Dance Forms
KP,Digital Signal Processing I
KP,Solid State Electronic Devices
KP,"Lines, Fields, and Waves"
KV,Law and Economics
KP,Lect in Engrg Entrepreneurship
KV,The American Novel Since 1914
KV,Survey of American Lit I
KV,History of the English Lang
KV,British Lit Since 1930
KN,Assessment for Learning
KN,Computer Use in Education
KV,ESES Capstone
KV,Studies in French
KL,Introduction to Wine Science
KL,Food Processing I
KV,Intro to Social Statistics
KV,Intro to Queer Studies
KL,Families in Global Perspective
KV,Western Civ Since 1660
KV,Technology in Western Society
KV,History of Religion in America
KV,European History Since 1939
KV,Latina/os and the City
KT,News Editing
KV,Basic Discrete Mathematics
KV,Advanced Topics in Mathematics
KV,Intro to Human Physiology
KV,Intro to Human Physiology Lab
KV,Physiology
KV,Microbiology
KV,Functional Human Anatomy
KP,Laboratory Investigations
KR,Diversity in Music Classrooms
KR,Hist Studies in 20thC Music
KR,Advanced Choral Techniques I
KL,Environment and Society
KV,Ancient Philosophy
KL,Introductory Plant Pathology
KV,International Law
KV,Psych of Personality
KV,Dev Psych Lab
KY,Seminar
KV,Intro to Literary Analysis
LC,Veterinary Bioscience
LC,Exotics
LC,Beef Cattle Manage Practice
LC,Clinical Swine Production Med
LC,Dairy Production Medicine
LC,Adv Clinical Swine Prod Med
