courseId,genEdId
AAS 100,1US
AAS 100,1SS
AAS 201,1US
AAS 201,1SS
AAS 215,1US
AAS 215,1HP
AAS 246,1US
AAS 246,1SS
AAS 258,1US
AAS 258,1SS
AAS 281,1US
AAS 281,1HP
AAS 282,1US
AAS 297,1US
AAS 297,1SS
AAS 310,1US
AAS 310,1CLL
ABE 469,1CLL
ACE 100,1SS
ACE 210,1SS
ACE 251,1SS
ACE 251,1NW
ACE 254,1SS
ACE 254,1NW
ACE 255,1US
ACE 255,1SS
ACE 261,1QR1
ACES 102,1LS
ACES 179,1US
ACES 179,1HP
ADV 476,1SS
ADV 476,1WCC
AE 443,1CLL
AFAS 120,1HP
AFRO 100,1US
AFRO 100,1SS
AFRO 101,1US
AFRO 101,1HP
AFRO 103,1US
AFRO 105,1US
AFRO 105,1LA
AFRO 106,1US
AFRO 106,1HP
AFRO 132,1US
AFRO 132,1LA
AFRO 201,1US
AFRO 201,1SS
AFRO 215,1US
AFRO 215,1HP
AFRO 221,1HP
AFRO 221,1WCC
AFRO 224,1US
AFRO 224,1LA
AFRO 228,1US
AFRO 228,1LA
AFRO 243,1NW
AFRO 250,1US
AFRO 250,1SS
AFRO 259,1US
AFRO 260,1US
AFRO 261,1US
AFRO 261,1HP
AFRO 275,1US
AFRO 275,1HP
AFRO 276,1US
AFRO 276,1HP
AFRO 281,1US
AFRO 281,1HP
AFRO 287,1US
AFRO 287,1HP
AFRO 310,1US
AFRO 310,1CLL
AFST 103,1US
AFST 210,1LA
AFST 210,1NW
AFST 213,1HP
AFST 213,1NW
AFST 243,1NW
AFST 254,1SS
AFST 254,1NW
AGCM 320,1CLL
AIS 101,1US
AIS 101,1HP
AIS 265,1US
AIS 265,1LA
AIS 275,1US
AIS 275,1LA
AIS 285,1HP
AIS 285,1NW
AIS 295,1US
AIS 295,1HP
ANSC 110,1LS
ANSC 205,1CLL
ANSC 207,1LS
ANSC 250,1WCC
ANSC 305,1SS
ANTH 101,1SS
ANTH 101,1WCC
ANTH 102,1SS
ANTH 103,1SS
ANTH 103,1NW
ANTH 105,1HP
ANTH 106,1US
ANTH 106,1HP
ANTH 109,1HP
ANTH 109,1WCC
ANTH 110,1SS
ANTH 126,1SS
ANTH 130,1HP
ANTH 130,1NW
ANTH 160,1US
ANTH 180,1SS
ANTH 180,1WCC
ANTH 182,1SS
ANTH 182,1NW
ANTH 210,1SS
ANTH 210,1NW
ANTH 246,1LS
ANTH 249,1LS
ANTH 250,1SS
ANTH 250,1WCC
ANTH 261,1US
ANTH 261,1HP
ANTH 268,1HP
ANTH 268,1CLL
ANTH 268,1WCC
ANTH 270,1SS
ANTH 270,1CLL
ANTH 272,1NW
ANTH 279,1SS
ANTH 279,1WCC
ANTH 285,1NW
ARAB 150,1NW
ARCH 314,1HP
ARCH 314,1CLL
ARCH 314,1WCC
ART 103,1LA
ART 104,1LA
ART 140,1LA
ART 310,1LA
ARTD 209,1NW
ARTH 110,1WCC
ARTH 110,1LA
ARTH 211,1LA
ARTH 214,1CLL
ARTH 214,1NW
ARTH 217,1HP
ARTH 217,1WCC
ARTH 242,1LA
ARTS 220,1LA
ASST 208,1LA
ASST 208,1NW
ASTR 100,1PS
ASTR 121,1PS
ASTR 121,1QR2
ASTR 122,1PS
ASTR 122,1QR2
ASTR 150,1PS
ASTR 490,1CLL
ATMS 100,1PS
ATMS 120,1PS
ATMS 120,1QR2
ATMS 140,1PS
ATMS 322,1SS
BADM 340,1CLL
BTW 250,1CLL
BTW 261,1CLL
BTW 263,1CLL
CEE 300,1CLL
CHBE 431,1CLL
CHEM 101,1PS
CHEM 102,1PS
CHEM 103,1PS
CHEM 104,1PS
CHEM 105,1PS
CHEM 108,1PS
CHEM 204,1PS
CHEM 317,1CLL
CHEM 437,1CLL
CHLH 100,1SS
CHLH 101,1SS
CHLH 260,1HP
CHLH 304,1CLL
CHLH 304,1BSC
CHLH 330,1SS
CHLH 421,1QR2
CHP 396,1CLL
CI 210,1BSC
CLCV 114,1WCC
CLCV 114,1LA
CLCV 115,1WCC
CLCV 115,1LA
CLCV 116,1HP
CLCV 116,1WCC
CLCV 120,1WCC
CLCV 120,1LA
CLCV 133,1HP
CLCV 133,1WCC
CLCV 203,1HP
CLCV 220,1WCC
CLCV 220,1LA
CLCV 224,1US
CLCV 224,1LA
CLCV 231,1HP
CLCV 231,1WCC
CLCV 250,1HP
CLCV 250,1WCC
CLCV 323,1CLL
CLCV 323,1WCC
CLCV 323,1LA
CMN 102,1BSC
CMN 112,1FC1
CMN 210,1HP
CMN 210,1WCC
CMN 220,1CLL
CMN 230,1SS
CMN 231,1BSC
CMN 232,1SS
CMN 232,1NW
CMN 250,1US
CMN 260,1BSC
CMN 260,1WCC
CMN 277,1US
CMN 277,1SS
CPSC 113,1LS
CPSC 113,1WCC
CPSC 116,1NW
CPSC 131,1NW
CPSC 241,1QR1
CPSC 261,1LS
CS 101,1QR2
CS 105,1QR1
CS 107,1QR1
CS 125,1QR1
CS 225,1QR2
CS 429,1CLL
CS 493,1CLL
CS 499,1CLL
CW 100,1LA
CW 243,1CLL
CWL 122,1US
CWL 151,1LA
CWL 202,1WCC
CWL 202,1LA
CWL 204,1US
CWL 207,1LA
CWL 207,1NW
CWL 208,1LA
CWL 208,1NW
CWL 210,1LA
CWL 210,1NW
CWL 211,1WCC
CWL 211,1LA
CWL 216,1WCC
CWL 216,1LA
CWL 220,1WCC
CWL 220,1LA
CWL 223,1LA
CWL 223,1NW
CWL 226,1US
CWL 226,1LA
CWL 227,1LA
CWL 230,1LA
CWL 230,1NW
CWL 242,1CLL
CWL 242,1WCC
CWL 242,1LA
CWL 253,1WCC
CWL 253,1LA
CWL 254,1WCC
CWL 254,1LA
CWL 255,1WCC
CWL 255,1LA
CWL 257,1WCC
CWL 257,1LA
CWL 259,1US
CWL 260,1US
CWL 267,1LA
CWL 271,1CLL
CWL 271,1WCC
CWL 271,1LA
CWL 273,1WCC
CWL 273,1LA
CWL 275,1LA
CWL 275,1NW
CWL 322,1CLL
CWL 322,1WCC
CWL 322,1LA
DANC 100,1WCC
DANC 100,1LA
DANC 441,1CLL
EALC 120,1HP
EALC 120,1NW
EALC 132,1HP
EALC 132,1NW
EALC 221,1NW
EALC 222,1HP
EALC 222,1NW
EALC 230,1LA
EALC 230,1NW
EALC 250,1SS
EALC 250,1NW
EALC 275,1LA
EALC 275,1NW
EALC 285,1NW
EALC 287,1HP
EALC 287,1NW
EALC 365,1SS
EALC 365,1NW
ECE 316,1HP
ECE 316,1CLL
ECE 445,1CLL
ECE 496,1CLL
ECE 499,1CLL
ECON 102,1SS
ECON 103,1SS
ECON 202,1QR1
ECON 210,1SS
ECON 451,1CLL
EDUC 201,1US
EDUC 202,1HP
EDUC 202,1CLL
ENGL 103,1LA
ENGL 104,1LA
ENGL 109,1CLL
ENGL 109,1LA
ENGL 115,1WCC
ENGL 115,1LA
ENGL 116,1WCC
ENGL 116,1LA
ENGL 117,1LA
ENGL 150,1US
ENGL 150,1LA
ENGL 200,1LA
ENGL 202,1WCC
ENGL 202,1LA
ENGL 204,1WCC
ENGL 204,1LA
ENGL 206,1WCC
ENGL 206,1LA
ENGL 208,1WCC
ENGL 208,1LA
ENGL 209,1WCC
ENGL 209,1LA
ENGL 211,1LA
ENGL 211,1NW
ENGL 216,1WCC
ENGL 216,1LA
ENGL 218,1LA
ENGL 224,1US
ENGL 245,1LA
ENGL 247,1WCC
ENGL 247,1LA
ENGL 250,1WCC
ENGL 250,1LA
ENGL 255,1WCC
ENGL 255,1LA
ENGL 259,1US
ENGL 260,1US
ENGL 265,1US
ENGL 265,1LA
ENGL 266,1WCC
ENGL 266,1LA
ENGL 268,1CLL
ENGL 268,1WCC
ENGL 268,1LA
ENGL 269,1WCC
ENGL 269,1LA
ENGL 270,1LA
ENGL 275,1US
ENGL 275,1LA
ENGL 285,1LA
ENGL 285,1NW
ENGL 350,1CLL
ENGL 360,1CLL
ENSU 301,1SS
ENVS 101,1PS
ENVS 101,1QR2
ENVS 210,1SS
EPOL 202,1CLL
EPOL 310,1US
EPOL 310,1CLL
EPS 202,1CLL
EPS 310,1US
EPS 310,1CLL
EPSY 201,1BSC
EPSY 202,1US
EPSY 220,1BSC
EPSY 222,1US
EPSY 222,1SS
ESE 103,1PS
ESE 104,1PS
ESE 111,1LS
ESE 118,1PS
ESE 120,1PS
ESE 120,1QR2
ESE 140,1PS
ESE 202,1HP
ESE 202,1WCC
ESE 208,1PS
ESE 210,1SS
ESE 254,1US
ESE 254,1SS
ESE 287,1SS
ESE 287,1WCC
ESE 360,1CLL
ESE 380,1QR2
ESL 111,1FC1
ESL 112,1FC1
ESL 115,1FC1
FAA 102,1LA
FAA 110,1LA
FAA 220,1LA
FSHN 101,1PS
FSHN 120,1LS
GEOG 100,1PS
GEOG 101,1SS
GEOG 101,1NW
GEOG 103,1PS
GEOG 105,1SS
GEOG 204,1SS
GEOG 204,1WCC
GEOG 210,1SS
GEOG 220,1PS
GEOG 254,1US
GEOG 254,1SS
GEOG 280,1QR1
GEOG 287,1SS
GEOG 287,1WCC
GEOG 371,1QR2
GEOG 380,1QR2
GEOL 100,1PS
GEOL 104,1PS
GEOL 107,1PS
GEOL 111,1LS
GEOL 118,1PS
GEOL 208,1PS
GER 201,1WCC
GER 201,1LA
GER 251,1WCC
GER 251,1LA
GER 260,1CLL
GER 260,1WCC
GER 260,1LA
GER 261,1WCC
GER 261,1LA
GLBL 100,1SS
GLBL 100,1WCC
GLBL 118,1PS
GLBL 200,1QR2
GLBL 200,1SS
GLBL 250,1NW
GLBL 272,1NW
GLBL 392,1CLL
GWS 100,1SS
GWS 103,1US
GWS 202,1WCC
GWS 215,1US
GWS 215,1HP
GWS 245,1HP
GWS 245,1WCC
GWS 282,1US
GWS 287,1US
GWS 287,1HP
GWS 356,1WCC
GWS 498,1CLL
HDFS 105,1BSC
HDFS 120,1SS
HDFS 140,1SS
HDFS 220,1SS
HDFS 220,1NW
HDFS 221,1US
HDFS 221,1SS
HDFS 225,1SS
HDFS 259,1BSC
HDFS 262,1BSC
HDFS 263,1US
HDFS 290,1CLL
HDFS 322,1US
HIST 100,1HP
HIST 100,1NW
HIST 101,1HP
HIST 120,1HP
HIST 120,1NW
HIST 130,1HP
HIST 130,1NW
HIST 135,1HP
HIST 135,1NW
HIST 140,1HP
HIST 140,1CLL
HIST 140,1WCC
HIST 141,1HP
HIST 141,1WCC
HIST 171,1US
HIST 171,1HP
HIST 172,1US
HIST 172,1HP
HIST 173,1US
HIST 173,1HP
HIST 173,1CLL
HIST 174,1US
HIST 174,1HP
HIST 202,1HP
HIST 202,1WCC
HIST 211,1HP
HIST 211,1NW
HIST 213,1HP
HIST 213,1NW
HIST 219,1HP
HIST 219,1WCC
HIST 221,1NW
HIST 222,1HP
HIST 222,1NW
HIST 241,1HP
HIST 241,1WCC
HIST 245,1HP
HIST 245,1WCC
HIST 252,1HP
HIST 252,1WCC
HIST 259,1HP
HIST 259,1WCC
HIST 264,1HP
HIST 264,1WCC
HIST 269,1HP
HIST 269,1WCC
HIST 275,1US
HIST 275,1HP
HIST 276,1US
HIST 276,1HP
HIST 279,1US
HIST 279,1HP
HIST 280,1US
HIST 280,1HP
HIST 281,1US
HIST 281,1HP
HIST 287,1US
HIST 287,1HP
HIST 492,1CLL
HIST 498,1CLL
HNDI 115,1NW
HORT 223,1LS
HORT 223,1CLL
HORT 261,1LS
IB 100,1LS
IB 103,1LS
IB 105,1LS
IB 108,1LS
IB 150,1LS
IB 210,1LS
IB 271,1CLL
IHLT 232,1US
INFO 202,1SS
INFO 303,1CLL
IS 107,1QR1
IS 202,1SS
JOUR 200,1CLL
JOUR 205,1HP
JOUR 451,1QR2
JOUR 452,1LA
JS 211,1WCC
JS 211,1LA
JS 231,1HP
JS 231,1WCC
JS 252,1HP
JS 252,1WCC
JS 261,1WCC
JS 261,1LA
JS 269,1HP
JS 269,1WCC
KIN 140,1SS
KIN 150,1LS
KIN 201,1QR2
KIN 230,1US
KIN 249,1SS
KIN 259,1BSC
KIN 262,1BSC
KIN 340,1CLL
KIN 401,1QR2
LA 221,1HP
LA 221,1WCC
LA 242,1WCC
LA 250,1PS
LA 314,1HP
LA 314,1CLL
LA 314,1WCC
LAST 170,1SS
LAST 170,1NW
LAST 210,1SS
LAST 210,1NW
LEAD 260,1SS
LER 100,1SS
LING 100,1SS
LING 115,1NW
LING 222,1NW
LING 225,1BSC
LING 250,1US
LING 250,1SS
LING 270,1BSC
LING 270,1WCC
LING 301,1CLL
LLS 100,1US
LLS 100,1SS
LLS 201,1US
LLS 201,1SS
LLS 215,1US
LLS 215,1HP
LLS 240,1US
LLS 250,1US
LLS 250,1LA
LLS 258,1US
LLS 258,1SS
LLS 279,1US
LLS 279,1HP
LLS 280,1US
LLS 280,1HP
LLS 281,1US
LLS 281,1HP
LLS 282,1US
LLS 310,1US
LLS 310,1CLL
LLS 322,1US
MACS 100,1WCC
MACS 100,1LA
MACS 101,1CLL
MACS 104,1LA
MACS 117,1LA
MACS 202,1SS
MACS 203,1LA
MACS 207,1LA
MACS 207,1NW
MACS 250,1US
MACS 250,1LA
MACS 262,1LA
MACS 264,1HP
MACS 264,1WCC
MACS 275,1US
MACS 275,1LA
MACS 351,1SS
MACS 356,1WCC
MATH 103,1QR1
MATH 115,1QR1
MATH 117,1QR1
MATH 124,1QR1
MATH 181,1QR1
MATH 213,1QR2
MATH 220,1QR1
MATH 231,1QR1
MATH 234,1QR1
MATH 241,1QR2
MATH 285,1QR2
MATH 286,1QR2
MATH 347,1QR2
MATH 402,1QR2
MATH 414,1QR2
MATH 453,1QR2
MCB 100,1LS
MCB 150,1LS
MDIA 223,1SS
MDVL 201,1WCC
MDVL 201,1LA
MDVL 216,1WCC
MDVL 216,1LA
MDVL 245,1HP
MDVL 245,1WCC
ME 470,1CLL
MILS 120,1HP
MSE 308,1CLL
MUS 130,1WCC
MUS 130,1LA
MUS 133,1LA
MUS 133,1NW
MUS 244,1CLL
MUS 314,1LA
MUSE 250,1SS
MUSE 250,1WCC
NPRE 101,1PS
NPRE 101,1QR2
NRES 100,1PS
NRES 105,1QR2
NRES 105,1LS
NRES 202,1HP
NRES 202,1WCC
NRES 210,1SS
NRES 223,1SS
NRES 242,1WCC
NRES 287,1SS
NRES 287,1WCC
NS 120,1HP
PHIL 100,1HP
PHIL 100,1CLL
PHIL 101,1HP
PHIL 102,1HP
PHIL 103,1QR2
PHIL 103,1HP
PHIL 104,1HP
PHIL 104,1CLL
PHIL 107,1SS
PHIL 109,1HP
PHIL 109,1WCC
PHIL 110,1HP
PHIL 110,1NW
PHIL 202,1QR1
PHIL 203,1HP
PHIL 206,1HP
PHIL 222,1HP
PHIL 223,1HP
PHIL 316,1HP
PHIL 316,1CLL
PHIL 419,1CLL
PHIL 454,1QR2
PHYS 101,1PS
PHYS 101,1QR2
PHYS 102,1PS
PHYS 102,1QR2
PHYS 211,1PS
PHYS 211,1QR2
PHYS 212,1PS
PHYS 212,1QR2
PHYS 213,1PS
PHYS 213,1QR2
PHYS 214,1PS
PHYS 214,1QR2
PHYS 419,1CLL
PHYS 496,1CLL
PLPA 200,1LS
PLPA 200,1CLL
PORT 150,1US
PORT 150,1SS
PS 100,1SS
PS 101,1SS
PS 201,1US
PS 201,1SS
PS 241,1SS
PS 241,1NW
PS 243,1NW
PS 273,1SS
PS 273,1WCC
PS 280,1SS
PS 281,1SS
PS 281,1CLL
PSYC 100,1BSC
PSYC 144,1US
PSYC 144,1BSC
PSYC 201,1BSC
PSYC 210,1LS
PSYC 230,1BSC
PSYC 235,1QR1
PSYC 239,1SS
PSYC 322,1BSC
PSYC 499,1CLL
REES 201,1SS
REHB 322,1BSC
REHB 330,1SS
REL 109,1HP
REL 109,1WCC
REL 110,1HP
REL 110,1NW
REL 115,1NW
REL 132,1HP
REL 132,1NW
REL 208,1LA
REL 208,1NW
REL 215,1HP
REL 215,1NW
REL 223,1LA
REL 223,1NW
REL 224,1HP
REL 224,1NW
REL 258,1US
REL 258,1SS
REL 269,1HP
REL 269,1WCC
REL 286,1HP
REL 286,1NW
REL 287,1HP
REL 287,1NW
RHET 102,1FC1
RHET 105,1FC1
RHET 233,1CLL
RST 100,1SS
RST 120,1BSC
RST 230,1US
RST 242,1WCC
RST 370,1QR2
RST 410,1CLL
RUSS 122,1US
RUSS 220,1LA
SAME 150,1NW
SAME 208,1LA
SAME 208,1NW
SAME 211,1WCC
SAME 211,1LA
SAME 223,1LA
SAME 223,1NW
SAME 272,1NW
SCAN 225,1WCC
SCAN 225,1LA
SE 494,1CLL
SE 495,1CLL
SHS 120,1BSC
SHS 222,1US
SHS 222,1SS
SHS 271,1SS
SOC 100,1SS
SOC 101,1SS
SOC 130,1SS
SOC 160,1SS
SOC 160,1NW
SOC 179,1SS
SOC 202,1WCC
SOC 225,1US
SOC 225,1SS
SOC 280,1QR1
SOC 350,1SS
SOC 373,1SS
SOC 380,1QR2
SOCW 200,1SS
SOCW 225,1QR1
SOCW 240,1SS
SOCW 245,1SS
SOCW 297,1US
SOCW 297,1SS
SOCW 300,1US
SOCW 300,1CLL
SPAN 232,1US
SPAN 240,1US
SPAN 246,1US
SPAN 246,1LA
SPED 117,1HP
SPED 322,1BSC
STAT 100,1QR1
STAT 107,1QR1
STAT 200,1QR1
STAT 212,1QR1
TAM 324,1CLL
THEA 101,1LA
THEA 110,1WCC
THEA 110,1LA
THEA 122,1LA
THEA 262,1CLL
THEA 262,1LA
THEA 323,1CLL
THEA 323,1WCC
THEA 323,1LA
TSM 311,1HP
TSM 311,1CLL
TURK 270,1NW
UP 116,1QR1
UP 160,1US
UP 185,1SS
UP 185,1NW
UP 210,1SS
UP 316,1QR2
WRIT 303,1CLL
ART 100,1LA
ART 205,1BSC
ART 205,1WCC
ESE 117,1PS
GEOL 117,1PS
MUS 132,1US
MUS 132,1LA
PS 224,1SS
RST 224,1SS
AAS 105,1US
AAS 120,1US
AAS 200,1US
AAS 200,1HP
AAS 260,1US
AAS 275,1US
AAS 283,1US
AAS 283,1HP
AAS 300,1CLL
AAS 402,1US
AAS 402,1CLL
AFRO 134,1US
AFRO 212,1US
AFRO 474,1CLL
AFST 111,1HP
AFST 111,1NW
AGCM 220,1CLL
AIS 214,1US
AIS 214,1SS
AIS 277,1US
AIS 277,1HP
ANTH 104,1SS
ANTH 108,1HP
ANTH 108,1WCC
ANTH 143,1LS
ANTH 241,1LS
ANTH 248,1SS
ANTH 248,1NW
ANTH 259,1US
ANTH 259,1SS
ANTH 262,1SS
ANTH 278,1NW
ARCH 222,1HP
ARCH 222,1NW
ART 102,1LA
ARTH 219,1HP
ARTH 219,1NW
ASST 104,1HP
ASST 104,1NW
BCS 115,1SS
BCS 115,1NW
BIOC 460,1CLL
CHBE 101,1PS
CHEM 202,1PS
CHLH 244,1QR1
CHLH 274,1QR1
CLCV 160,1HP
CLCV 160,1WCC
CLCV 221,1WCC
CLCV 221,1LA
CLCV 222,1CLL
CLCV 222,1WCC
CLCV 222,1LA
CLCV 240,1WCC
CLCV 240,1LA
CMN 111,1FC1
CMN 280,1SS
CPSC 112,1LS
CPSC 270,1LS
CWL 114,1LA
CWL 114,1NW
CWL 117,1LA
CWL 189,1LA
CWL 189,1NW
CWL 201,1LA
CWL 209,1US
CWL 209,1LA
CWL 212,1WCC
CWL 212,1LA
CWL 241,1CLL
CWL 241,1WCC
CWL 241,1LA
CWL 251,1HP
CWL 251,1WCC
CWL 262,1WCC
CWL 262,1LA
CWL 263,1WCC
CWL 263,1LA
CWL 264,1CLL
